kind,item,required_contributors,contributor_count,status,contributors
architectural_point,rv32_branch_bge_taken,2,7,PASS,generated_c_0000c008;generated_c_0000c010;isa_matrix;isa_matrix_O0;isa_matrix_O1;isa_matrix_O2;isa_matrix_Os
architectural_point,rv32_branch_bge_not_taken,2,10,PASS,generated_c_0000c008;generated_c_0000c00c;generated_c_0000c010;generated_c_0000c014;generated_c_0000c018;isa_matrix;isa_matrix_O0;isa_matrix_O1;isa_matrix_O2;isa_matrix_Os
architectural_point,rv32_branch_bltu_taken,2,6,PASS,c_abi_stack_call_matrix_O0;isa_matrix;isa_matrix_O0;isa_matrix_O1;isa_matrix_O2;isa_matrix_Os
architectural_point,rv32_branch_bltu_not_taken,2,9,PASS,c_abi_stack_call_matrix_O0;irq_level_mret_matrix_O2;irq_trap_priority_matrix_O2;isa_matrix;isa_matrix_O0;isa_matrix_O1;isa_matrix_O2;isa_matrix_Os;reset_irq_handler_matrix_O2
architectural_point,rv32_branch_bgeu_taken,2,154,PASS,apb_access_legality_matrix;apb_atomicity_wait_error_matrix;apb_atomicity_wait_error_matrix_O2;apb_reset_phase_matrix;apb_reset_phase_matrix_O0;apb_reset_phase_matrix_O1;apb_reset_phase_matrix_O2;apb_reset_phase_matrix_Os;apb_wait_depth_matrix;apb_wait_trap;apb_wait_trap_O2;back_to_back;c_abi_stack_call_matrix;c_abi_stack_call_matrix_O0;c_abi_stack_call_matrix_O1;c_abi_stack_call_matrix_O2;c_abi_stack_call_matrix_Os;c_initialized_data_sections;c_initialized_data_sections_O0;c_initialized_data_sections_O1;c_initialized_data_sections_O2;c_initialized_data_sections_Os;counter_rollover;cpu_seed_00;cpu_seed_01;cpu_seed_02;cpu_seed_03;cpu_seed_04;cpu_seed_05;cpu_seed_06;cpu_seed_07;cpu_seed_08;cpu_seed_09;cpu_seed_10;cpu_seed_11;cpu_seed_12;cpu_seed_13;cpu_seed_14;cpu_seed_15;cpu_seed_16;cpu_seed_17;cpu_seed_18;cpu_seed_19;cpu_seed_20;cpu_seed_21;cpu_seed_22;cpu_seed_23;cpu_seed_24;csr_illegal_mask_alignment_matrix;csr_state_matrix;csr_state_matrix_O2;dma_completion_pressure_irq;dma_length_bank_matrix;dma_tag_reuse_recovery;external_timer_priority;firmware_completion_mode_error_power_matrix;firmware_latency_counters;generated_c_0000c000;generated_c_0000c001;generated_c_0000c002;generated_c_0000c003;generated_c_0000c004;generated_c_0000c005;generated_c_0000c006;generated_c_0000c007;generated_c_0000c008;generated_c_0000c009;generated_c_0000c00a;generated_c_0000c00b;generated_c_0000c00c;generated_c_0000c00d;generated_c_0000c00e;generated_c_0000c00f;generated_c_0000c010;generated_c_0000c011;generated_c_0000c012;generated_c_0000c013;generated_c_0000c014;generated_c_0000c015;generated_c_0000c016;generated_c_0000c017;generated_c_0000c018;interrupt_before_after_retire;interrupt_dma;interrupt_during_apb_wait;interrupt_during_apb_wait_O2;interrupt_mask_pending_enable;interrupt_mask_pending_enable_O2;invalid_source;irq_level_mret_matrix;irq_level_mret_matrix_O2;irq_trap_priority_matrix;irq_trap_priority_matrix_O2;isa_matrix;isa_matrix_O0;isa_matrix_O1;isa_matrix_O2;isa_matrix_Os;operand_corner_matrix;operand_corner_matrix_O0;operand_corner_matrix_O1;operand_corner_matrix_O2;operand_corner_matrix_Os;parity_error;polling_dma;power_active_dma_matrix;power_completion_pending_matrix;queue_full_recovery;reset_irq_handler_matrix;reset_irq_handler_matrix_O2;reset_mid_wait;rv32_control_flow_boundary_matrix;rv32_control_flow_boundary_matrix_O2;rv32_decode_legality_matrix;rv32_decode_legality_matrix_O0;rv32_decode_legality_matrix_O1;rv32_decode_legality_matrix_O2;rv32_decode_legality_matrix_Os;rv32_sram_boundary_fault_matrix;rv32_sram_boundary_fault_matrix_O2;sleep_resume;timeout_handler;timer_compare_future;timer_counter_arch_edges;timer_during_apb_wait;timer_mask_pending_enable;wfi_external_wake;wfi_sleep_wake;wfi_timer_wake;workload_seed_00;workload_seed_01;workload_seed_02;workload_seed_03;workload_seed_04;workload_seed_05;workload_seed_06;workload_seed_07;workload_seed_08;workload_seed_09;workload_seed_10;workload_seed_11;workload_seed_12;workload_seed_13;workload_seed_14;workload_seed_15;workload_seed_16;workload_seed_17;workload_seed_18;workload_seed_19;workload_seed_20;workload_seed_21;workload_seed_22;workload_seed_23;workload_seed_24
architectural_point,rv32_branch_bgeu_not_taken,2,154,PASS,apb_access_legality_matrix;apb_atomicity_wait_error_matrix;apb_atomicity_wait_error_matrix_O2;apb_reset_phase_matrix;apb_reset_phase_matrix_O0;apb_reset_phase_matrix_O1;apb_reset_phase_matrix_O2;apb_reset_phase_matrix_Os;apb_wait_depth_matrix;apb_wait_trap;apb_wait_trap_O2;back_to_back;c_abi_stack_call_matrix;c_abi_stack_call_matrix_O0;c_abi_stack_call_matrix_O1;c_abi_stack_call_matrix_O2;c_abi_stack_call_matrix_Os;c_initialized_data_sections;c_initialized_data_sections_O0;c_initialized_data_sections_O1;c_initialized_data_sections_O2;c_initialized_data_sections_Os;counter_rollover;cpu_seed_00;cpu_seed_01;cpu_seed_02;cpu_seed_03;cpu_seed_04;cpu_seed_05;cpu_seed_06;cpu_seed_07;cpu_seed_08;cpu_seed_09;cpu_seed_10;cpu_seed_11;cpu_seed_12;cpu_seed_13;cpu_seed_14;cpu_seed_15;cpu_seed_16;cpu_seed_17;cpu_seed_18;cpu_seed_19;cpu_seed_20;cpu_seed_21;cpu_seed_22;cpu_seed_23;cpu_seed_24;csr_illegal_mask_alignment_matrix;csr_state_matrix;csr_state_matrix_O2;dma_completion_pressure_irq;dma_length_bank_matrix;dma_tag_reuse_recovery;external_timer_priority;firmware_completion_mode_error_power_matrix;firmware_latency_counters;generated_c_0000c000;generated_c_0000c001;generated_c_0000c002;generated_c_0000c003;generated_c_0000c004;generated_c_0000c005;generated_c_0000c006;generated_c_0000c007;generated_c_0000c008;generated_c_0000c009;generated_c_0000c00a;generated_c_0000c00b;generated_c_0000c00c;generated_c_0000c00d;generated_c_0000c00e;generated_c_0000c00f;generated_c_0000c010;generated_c_0000c011;generated_c_0000c012;generated_c_0000c013;generated_c_0000c014;generated_c_0000c015;generated_c_0000c016;generated_c_0000c017;generated_c_0000c018;interrupt_before_after_retire;interrupt_dma;interrupt_during_apb_wait;interrupt_during_apb_wait_O2;interrupt_mask_pending_enable;interrupt_mask_pending_enable_O2;invalid_source;irq_level_mret_matrix;irq_level_mret_matrix_O2;irq_trap_priority_matrix;irq_trap_priority_matrix_O2;isa_matrix;isa_matrix_O0;isa_matrix_O1;isa_matrix_O2;isa_matrix_Os;operand_corner_matrix;operand_corner_matrix_O0;operand_corner_matrix_O1;operand_corner_matrix_O2;operand_corner_matrix_Os;parity_error;polling_dma;power_active_dma_matrix;power_completion_pending_matrix;queue_full_recovery;reset_irq_handler_matrix;reset_irq_handler_matrix_O2;reset_mid_wait;rv32_control_flow_boundary_matrix;rv32_control_flow_boundary_matrix_O2;rv32_decode_legality_matrix;rv32_decode_legality_matrix_O0;rv32_decode_legality_matrix_O1;rv32_decode_legality_matrix_O2;rv32_decode_legality_matrix_Os;rv32_sram_boundary_fault_matrix;rv32_sram_boundary_fault_matrix_O2;sleep_resume;timeout_handler;timer_compare_future;timer_counter_arch_edges;timer_during_apb_wait;timer_mask_pending_enable;wfi_external_wake;wfi_sleep_wake;wfi_timer_wake;workload_seed_00;workload_seed_01;workload_seed_02;workload_seed_03;workload_seed_04;workload_seed_05;workload_seed_06;workload_seed_07;workload_seed_08;workload_seed_09;workload_seed_10;workload_seed_11;workload_seed_12;workload_seed_13;workload_seed_14;workload_seed_15;workload_seed_16;workload_seed_17;workload_seed_18;workload_seed_19;workload_seed_20;workload_seed_21;workload_seed_22;workload_seed_23;workload_seed_24
architectural_point,rv32_opimm_addi,2,154,PASS,apb_access_legality_matrix;apb_atomicity_wait_error_matrix;apb_atomicity_wait_error_matrix_O2;apb_reset_phase_matrix;apb_reset_phase_matrix_O0;apb_reset_phase_matrix_O1;apb_reset_phase_matrix_O2;apb_reset_phase_matrix_Os;apb_wait_depth_matrix;apb_wait_trap;apb_wait_trap_O2;back_to_back;c_abi_stack_call_matrix;c_abi_stack_call_matrix_O0;c_abi_stack_call_matrix_O1;c_abi_stack_call_matrix_O2;c_abi_stack_call_matrix_Os;c_initialized_data_sections;c_initialized_data_sections_O0;c_initialized_data_sections_O1;c_initialized_data_sections_O2;c_initialized_data_sections_Os;counter_rollover;cpu_seed_00;cpu_seed_01;cpu_seed_02;cpu_seed_03;cpu_seed_04;cpu_seed_05;cpu_seed_06;cpu_seed_07;cpu_seed_08;cpu_seed_09;cpu_seed_10;cpu_seed_11;cpu_seed_12;cpu_seed_13;cpu_seed_14;cpu_seed_15;cpu_seed_16;cpu_seed_17;cpu_seed_18;cpu_seed_19;cpu_seed_20;cpu_seed_21;cpu_seed_22;cpu_seed_23;cpu_seed_24;csr_illegal_mask_alignment_matrix;csr_state_matrix;csr_state_matrix_O2;dma_completion_pressure_irq;dma_length_bank_matrix;dma_tag_reuse_recovery;external_timer_priority;firmware_completion_mode_error_power_matrix;firmware_latency_counters;generated_c_0000c000;generated_c_0000c001;generated_c_0000c002;generated_c_0000c003;generated_c_0000c004;generated_c_0000c005;generated_c_0000c006;generated_c_0000c007;generated_c_0000c008;generated_c_0000c009;generated_c_0000c00a;generated_c_0000c00b;generated_c_0000c00c;generated_c_0000c00d;generated_c_0000c00e;generated_c_0000c00f;generated_c_0000c010;generated_c_0000c011;generated_c_0000c012;generated_c_0000c013;generated_c_0000c014;generated_c_0000c015;generated_c_0000c016;generated_c_0000c017;generated_c_0000c018;interrupt_before_after_retire;interrupt_dma;interrupt_during_apb_wait;interrupt_during_apb_wait_O2;interrupt_mask_pending_enable;interrupt_mask_pending_enable_O2;invalid_source;irq_level_mret_matrix;irq_level_mret_matrix_O2;irq_trap_priority_matrix;irq_trap_priority_matrix_O2;isa_matrix;isa_matrix_O0;isa_matrix_O1;isa_matrix_O2;isa_matrix_Os;operand_corner_matrix;operand_corner_matrix_O0;operand_corner_matrix_O1;operand_corner_matrix_O2;operand_corner_matrix_Os;parity_error;polling_dma;power_active_dma_matrix;power_completion_pending_matrix;queue_full_recovery;reset_irq_handler_matrix;reset_irq_handler_matrix_O2;reset_mid_wait;rv32_control_flow_boundary_matrix;rv32_control_flow_boundary_matrix_O2;rv32_decode_legality_matrix;rv32_decode_legality_matrix_O0;rv32_decode_legality_matrix_O1;rv32_decode_legality_matrix_O2;rv32_decode_legality_matrix_Os;rv32_sram_boundary_fault_matrix;rv32_sram_boundary_fault_matrix_O2;sleep_resume;timeout_handler;timer_compare_future;timer_counter_arch_edges;timer_during_apb_wait;timer_mask_pending_enable;wfi_external_wake;wfi_sleep_wake;wfi_timer_wake;workload_seed_00;workload_seed_01;workload_seed_02;workload_seed_03;workload_seed_04;workload_seed_05;workload_seed_06;workload_seed_07;workload_seed_08;workload_seed_09;workload_seed_10;workload_seed_11;workload_seed_12;workload_seed_13;workload_seed_14;workload_seed_15;workload_seed_16;workload_seed_17;workload_seed_18;workload_seed_19;workload_seed_20;workload_seed_21;workload_seed_22;workload_seed_23;workload_seed_24
architectural_point,rv32_opimm_slti,2,5,PASS,isa_matrix;isa_matrix_O0;isa_matrix_O1;isa_matrix_O2;isa_matrix_Os
architectural_point,rv32_opimm_sltiu,2,6,PASS,isa_matrix;isa_matrix_O0;isa_matrix_O1;isa_matrix_O2;isa_matrix_Os;timer_compare_future
architectural_point,rv32_opimm_xori,2,30,PASS,cpu_seed_00;cpu_seed_01;cpu_seed_02;cpu_seed_03;cpu_seed_04;cpu_seed_05;cpu_seed_06;cpu_seed_07;cpu_seed_08;cpu_seed_09;cpu_seed_10;cpu_seed_11;cpu_seed_12;cpu_seed_13;cpu_seed_14;cpu_seed_15;cpu_seed_16;cpu_seed_17;cpu_seed_18;cpu_seed_19;cpu_seed_20;cpu_seed_21;cpu_seed_22;cpu_seed_23;cpu_seed_24;isa_matrix;isa_matrix_O0;isa_matrix_O1;isa_matrix_O2;isa_matrix_Os
architectural_point,rv32_opimm_ori,2,16,PASS,csr_illegal_mask_alignment_matrix;isa_matrix;isa_matrix_O0;isa_matrix_O1;isa_matrix_O2;isa_matrix_Os;rv32_control_flow_boundary_matrix;rv32_control_flow_boundary_matrix_O2;workload_seed_01;workload_seed_05;workload_seed_09;workload_seed_10;workload_seed_13;workload_seed_17;workload_seed_21;workload_seed_22
architectural_point,rv32_opimm_andi,2,154,PASS,apb_access_legality_matrix;apb_atomicity_wait_error_matrix;apb_atomicity_wait_error_matrix_O2;apb_reset_phase_matrix;apb_reset_phase_matrix_O0;apb_reset_phase_matrix_O1;apb_reset_phase_matrix_O2;apb_reset_phase_matrix_Os;apb_wait_depth_matrix;apb_wait_trap;apb_wait_trap_O2;back_to_back;c_abi_stack_call_matrix;c_abi_stack_call_matrix_O0;c_abi_stack_call_matrix_O1;c_abi_stack_call_matrix_O2;c_abi_stack_call_matrix_Os;c_initialized_data_sections;c_initialized_data_sections_O0;c_initialized_data_sections_O1;c_initialized_data_sections_O2;c_initialized_data_sections_Os;counter_rollover;cpu_seed_00;cpu_seed_01;cpu_seed_02;cpu_seed_03;cpu_seed_04;cpu_seed_05;cpu_seed_06;cpu_seed_07;cpu_seed_08;cpu_seed_09;cpu_seed_10;cpu_seed_11;cpu_seed_12;cpu_seed_13;cpu_seed_14;cpu_seed_15;cpu_seed_16;cpu_seed_17;cpu_seed_18;cpu_seed_19;cpu_seed_20;cpu_seed_21;cpu_seed_22;cpu_seed_23;cpu_seed_24;csr_illegal_mask_alignment_matrix;csr_state_matrix;csr_state_matrix_O2;dma_completion_pressure_irq;dma_length_bank_matrix;dma_tag_reuse_recovery;external_timer_priority;firmware_completion_mode_error_power_matrix;firmware_latency_counters;generated_c_0000c000;generated_c_0000c001;generated_c_0000c002;generated_c_0000c003;generated_c_0000c004;generated_c_0000c005;generated_c_0000c006;generated_c_0000c007;generated_c_0000c008;generated_c_0000c009;generated_c_0000c00a;generated_c_0000c00b;generated_c_0000c00c;generated_c_0000c00d;generated_c_0000c00e;generated_c_0000c00f;generated_c_0000c010;generated_c_0000c011;generated_c_0000c012;generated_c_0000c013;generated_c_0000c014;generated_c_0000c015;generated_c_0000c016;generated_c_0000c017;generated_c_0000c018;interrupt_before_after_retire;interrupt_dma;interrupt_during_apb_wait;interrupt_during_apb_wait_O2;interrupt_mask_pending_enable;interrupt_mask_pending_enable_O2;invalid_source;irq_level_mret_matrix;irq_level_mret_matrix_O2;irq_trap_priority_matrix;irq_trap_priority_matrix_O2;isa_matrix;isa_matrix_O0;isa_matrix_O1;isa_matrix_O2;isa_matrix_Os;operand_corner_matrix;operand_corner_matrix_O0;operand_corner_matrix_O1;operand_corner_matrix_O2;operand_corner_matrix_Os;parity_error;polling_dma;power_active_dma_matrix;power_completion_pending_matrix;queue_full_recovery;reset_irq_handler_matrix;reset_irq_handler_matrix_O2;reset_mid_wait;rv32_control_flow_boundary_matrix;rv32_control_flow_boundary_matrix_O2;rv32_decode_legality_matrix;rv32_decode_legality_matrix_O0;rv32_decode_legality_matrix_O1;rv32_decode_legality_matrix_O2;rv32_decode_legality_matrix_Os;rv32_sram_boundary_fault_matrix;rv32_sram_boundary_fault_matrix_O2;sleep_resume;timeout_handler;timer_compare_future;timer_counter_arch_edges;timer_during_apb_wait;timer_mask_pending_enable;wfi_external_wake;wfi_sleep_wake;wfi_timer_wake;workload_seed_00;workload_seed_01;workload_seed_02;workload_seed_03;workload_seed_04;workload_seed_05;workload_seed_06;workload_seed_07;workload_seed_08;workload_seed_09;workload_seed_10;workload_seed_11;workload_seed_12;workload_seed_13;workload_seed_14;workload_seed_15;workload_seed_16;workload_seed_17;workload_seed_18;workload_seed_19;workload_seed_20;workload_seed_21;workload_seed_22;workload_seed_23;workload_seed_24
architectural_point,rv32_opimm_slli,2,154,PASS,apb_access_legality_matrix;apb_atomicity_wait_error_matrix;apb_atomicity_wait_error_matrix_O2;apb_reset_phase_matrix;apb_reset_phase_matrix_O0;apb_reset_phase_matrix_O1;apb_reset_phase_matrix_O2;apb_reset_phase_matrix_Os;apb_wait_depth_matrix;apb_wait_trap;apb_wait_trap_O2;back_to_back;c_abi_stack_call_matrix;c_abi_stack_call_matrix_O0;c_abi_stack_call_matrix_O1;c_abi_stack_call_matrix_O2;c_abi_stack_call_matrix_Os;c_initialized_data_sections;c_initialized_data_sections_O0;c_initialized_data_sections_O1;c_initialized_data_sections_O2;c_initialized_data_sections_Os;counter_rollover;cpu_seed_00;cpu_seed_01;cpu_seed_02;cpu_seed_03;cpu_seed_04;cpu_seed_05;cpu_seed_06;cpu_seed_07;cpu_seed_08;cpu_seed_09;cpu_seed_10;cpu_seed_11;cpu_seed_12;cpu_seed_13;cpu_seed_14;cpu_seed_15;cpu_seed_16;cpu_seed_17;cpu_seed_18;cpu_seed_19;cpu_seed_20;cpu_seed_21;cpu_seed_22;cpu_seed_23;cpu_seed_24;csr_illegal_mask_alignment_matrix;csr_state_matrix;csr_state_matrix_O2;dma_completion_pressure_irq;dma_length_bank_matrix;dma_tag_reuse_recovery;external_timer_priority;firmware_completion_mode_error_power_matrix;firmware_latency_counters;generated_c_0000c000;generated_c_0000c001;generated_c_0000c002;generated_c_0000c003;generated_c_0000c004;generated_c_0000c005;generated_c_0000c006;generated_c_0000c007;generated_c_0000c008;generated_c_0000c009;generated_c_0000c00a;generated_c_0000c00b;generated_c_0000c00c;generated_c_0000c00d;generated_c_0000c00e;generated_c_0000c00f;generated_c_0000c010;generated_c_0000c011;generated_c_0000c012;generated_c_0000c013;generated_c_0000c014;generated_c_0000c015;generated_c_0000c016;generated_c_0000c017;generated_c_0000c018;interrupt_before_after_retire;interrupt_dma;interrupt_during_apb_wait;interrupt_during_apb_wait_O2;interrupt_mask_pending_enable;interrupt_mask_pending_enable_O2;invalid_source;irq_level_mret_matrix;irq_level_mret_matrix_O2;irq_trap_priority_matrix;irq_trap_priority_matrix_O2;isa_matrix;isa_matrix_O0;isa_matrix_O1;isa_matrix_O2;isa_matrix_Os;operand_corner_matrix;operand_corner_matrix_O0;operand_corner_matrix_O1;operand_corner_matrix_O2;operand_corner_matrix_Os;parity_error;polling_dma;power_active_dma_matrix;power_completion_pending_matrix;queue_full_recovery;reset_irq_handler_matrix;reset_irq_handler_matrix_O2;reset_mid_wait;rv32_control_flow_boundary_matrix;rv32_control_flow_boundary_matrix_O2;rv32_decode_legality_matrix;rv32_decode_legality_matrix_O0;rv32_decode_legality_matrix_O1;rv32_decode_legality_matrix_O2;rv32_decode_legality_matrix_Os;rv32_sram_boundary_fault_matrix;rv32_sram_boundary_fault_matrix_O2;sleep_resume;timeout_handler;timer_compare_future;timer_counter_arch_edges;timer_during_apb_wait;timer_mask_pending_enable;wfi_external_wake;wfi_sleep_wake;wfi_timer_wake;workload_seed_00;workload_seed_01;workload_seed_02;workload_seed_03;workload_seed_04;workload_seed_05;workload_seed_06;workload_seed_07;workload_seed_08;workload_seed_09;workload_seed_10;workload_seed_11;workload_seed_12;workload_seed_13;workload_seed_14;workload_seed_15;workload_seed_16;workload_seed_17;workload_seed_18;workload_seed_19;workload_seed_20;workload_seed_21;workload_seed_22;workload_seed_23;workload_seed_24
architectural_point,rv32_opimm_srli,2,154,PASS,apb_access_legality_matrix;apb_atomicity_wait_error_matrix;apb_atomicity_wait_error_matrix_O2;apb_reset_phase_matrix;apb_reset_phase_matrix_O0;apb_reset_phase_matrix_O1;apb_reset_phase_matrix_O2;apb_reset_phase_matrix_Os;apb_wait_depth_matrix;apb_wait_trap;apb_wait_trap_O2;back_to_back;c_abi_stack_call_matrix;c_abi_stack_call_matrix_O0;c_abi_stack_call_matrix_O1;c_abi_stack_call_matrix_O2;c_abi_stack_call_matrix_Os;c_initialized_data_sections;c_initialized_data_sections_O0;c_initialized_data_sections_O1;c_initialized_data_sections_O2;c_initialized_data_sections_Os;counter_rollover;cpu_seed_00;cpu_seed_01;cpu_seed_02;cpu_seed_03;cpu_seed_04;cpu_seed_05;cpu_seed_06;cpu_seed_07;cpu_seed_08;cpu_seed_09;cpu_seed_10;cpu_seed_11;cpu_seed_12;cpu_seed_13;cpu_seed_14;cpu_seed_15;cpu_seed_16;cpu_seed_17;cpu_seed_18;cpu_seed_19;cpu_seed_20;cpu_seed_21;cpu_seed_22;cpu_seed_23;cpu_seed_24;csr_illegal_mask_alignment_matrix;csr_state_matrix;csr_state_matrix_O2;dma_completion_pressure_irq;dma_length_bank_matrix;dma_tag_reuse_recovery;external_timer_priority;firmware_completion_mode_error_power_matrix;firmware_latency_counters;generated_c_0000c000;generated_c_0000c001;generated_c_0000c002;generated_c_0000c003;generated_c_0000c004;generated_c_0000c005;generated_c_0000c006;generated_c_0000c007;generated_c_0000c008;generated_c_0000c009;generated_c_0000c00a;generated_c_0000c00b;generated_c_0000c00c;generated_c_0000c00d;generated_c_0000c00e;generated_c_0000c00f;generated_c_0000c010;generated_c_0000c011;generated_c_0000c012;generated_c_0000c013;generated_c_0000c014;generated_c_0000c015;generated_c_0000c016;generated_c_0000c017;generated_c_0000c018;interrupt_before_after_retire;interrupt_dma;interrupt_during_apb_wait;interrupt_during_apb_wait_O2;interrupt_mask_pending_enable;interrupt_mask_pending_enable_O2;invalid_source;irq_level_mret_matrix;irq_level_mret_matrix_O2;irq_trap_priority_matrix;irq_trap_priority_matrix_O2;isa_matrix;isa_matrix_O0;isa_matrix_O1;isa_matrix_O2;isa_matrix_Os;operand_corner_matrix;operand_corner_matrix_O0;operand_corner_matrix_O1;operand_corner_matrix_O2;operand_corner_matrix_Os;parity_error;polling_dma;power_active_dma_matrix;power_completion_pending_matrix;queue_full_recovery;reset_irq_handler_matrix;reset_irq_handler_matrix_O2;reset_mid_wait;rv32_control_flow_boundary_matrix;rv32_control_flow_boundary_matrix_O2;rv32_decode_legality_matrix;rv32_decode_legality_matrix_O0;rv32_decode_legality_matrix_O1;rv32_decode_legality_matrix_O2;rv32_decode_legality_matrix_Os;rv32_sram_boundary_fault_matrix;rv32_sram_boundary_fault_matrix_O2;sleep_resume;timeout_handler;timer_compare_future;timer_counter_arch_edges;timer_during_apb_wait;timer_mask_pending_enable;wfi_external_wake;wfi_sleep_wake;wfi_timer_wake;workload_seed_00;workload_seed_01;workload_seed_02;workload_seed_03;workload_seed_04;workload_seed_05;workload_seed_06;workload_seed_07;workload_seed_08;workload_seed_09;workload_seed_10;workload_seed_11;workload_seed_12;workload_seed_13;workload_seed_14;workload_seed_15;workload_seed_16;workload_seed_17;workload_seed_18;workload_seed_19;workload_seed_20;workload_seed_21;workload_seed_22;workload_seed_23;workload_seed_24
architectural_point,rv32_opimm_srai,2,10,PASS,isa_matrix;isa_matrix_O0;isa_matrix_O1;isa_matrix_O2;isa_matrix_Os;operand_corner_matrix;operand_corner_matrix_O0;operand_corner_matrix_O1;operand_corner_matrix_O2;operand_corner_matrix_Os
architectural_point,rv32_opreg_add,2,154,PASS,apb_access_legality_matrix;apb_atomicity_wait_error_matrix;apb_atomicity_wait_error_matrix_O2;apb_reset_phase_matrix;apb_reset_phase_matrix_O0;apb_reset_phase_matrix_O1;apb_reset_phase_matrix_O2;apb_reset_phase_matrix_Os;apb_wait_depth_matrix;apb_wait_trap;apb_wait_trap_O2;back_to_back;c_abi_stack_call_matrix;c_abi_stack_call_matrix_O0;c_abi_stack_call_matrix_O1;c_abi_stack_call_matrix_O2;c_abi_stack_call_matrix_Os;c_initialized_data_sections;c_initialized_data_sections_O0;c_initialized_data_sections_O1;c_initialized_data_sections_O2;c_initialized_data_sections_Os;counter_rollover;cpu_seed_00;cpu_seed_01;cpu_seed_02;cpu_seed_03;cpu_seed_04;cpu_seed_05;cpu_seed_06;cpu_seed_07;cpu_seed_08;cpu_seed_09;cpu_seed_10;cpu_seed_11;cpu_seed_12;cpu_seed_13;cpu_seed_14;cpu_seed_15;cpu_seed_16;cpu_seed_17;cpu_seed_18;cpu_seed_19;cpu_seed_20;cpu_seed_21;cpu_seed_22;cpu_seed_23;cpu_seed_24;csr_illegal_mask_alignment_matrix;csr_state_matrix;csr_state_matrix_O2;dma_completion_pressure_irq;dma_length_bank_matrix;dma_tag_reuse_recovery;external_timer_priority;firmware_completion_mode_error_power_matrix;firmware_latency_counters;generated_c_0000c000;generated_c_0000c001;generated_c_0000c002;generated_c_0000c003;generated_c_0000c004;generated_c_0000c005;generated_c_0000c006;generated_c_0000c007;generated_c_0000c008;generated_c_0000c009;generated_c_0000c00a;generated_c_0000c00b;generated_c_0000c00c;generated_c_0000c00d;generated_c_0000c00e;generated_c_0000c00f;generated_c_0000c010;generated_c_0000c011;generated_c_0000c012;generated_c_0000c013;generated_c_0000c014;generated_c_0000c015;generated_c_0000c016;generated_c_0000c017;generated_c_0000c018;interrupt_before_after_retire;interrupt_dma;interrupt_during_apb_wait;interrupt_during_apb_wait_O2;interrupt_mask_pending_enable;interrupt_mask_pending_enable_O2;invalid_source;irq_level_mret_matrix;irq_level_mret_matrix_O2;irq_trap_priority_matrix;irq_trap_priority_matrix_O2;isa_matrix;isa_matrix_O0;isa_matrix_O1;isa_matrix_O2;isa_matrix_Os;operand_corner_matrix;operand_corner_matrix_O0;operand_corner_matrix_O1;operand_corner_matrix_O2;operand_corner_matrix_Os;parity_error;polling_dma;power_active_dma_matrix;power_completion_pending_matrix;queue_full_recovery;reset_irq_handler_matrix;reset_irq_handler_matrix_O2;reset_mid_wait;rv32_control_flow_boundary_matrix;rv32_control_flow_boundary_matrix_O2;rv32_decode_legality_matrix;rv32_decode_legality_matrix_O0;rv32_decode_legality_matrix_O1;rv32_decode_legality_matrix_O2;rv32_decode_legality_matrix_Os;rv32_sram_boundary_fault_matrix;rv32_sram_boundary_fault_matrix_O2;sleep_resume;timeout_handler;timer_compare_future;timer_counter_arch_edges;timer_during_apb_wait;timer_mask_pending_enable;wfi_external_wake;wfi_sleep_wake;wfi_timer_wake;workload_seed_00;workload_seed_01;workload_seed_02;workload_seed_03;workload_seed_04;workload_seed_05;workload_seed_06;workload_seed_07;workload_seed_08;workload_seed_09;workload_seed_10;workload_seed_11;workload_seed_12;workload_seed_13;workload_seed_14;workload_seed_15;workload_seed_16;workload_seed_17;workload_seed_18;workload_seed_19;workload_seed_20;workload_seed_21;workload_seed_22;workload_seed_23;workload_seed_24
